player_name,total_distance,multiplier,Team
Eduardo Escobar,157570,1240.70866141732,Arizona
Whit Merrifield,153032,1204.97637795276,Kansas City
Anthony Rendon,148499,1169.28346456693,Washington
Rafael Devers,148074,1165.93700787402,Boston
Mookie Betts,144750,1139.76377952756,Boston
Ozzie Albies,141395,1113.34645669291,Atlanta
Jorge Polanco,141099,1111.0157480315,Minnesota
Francisco Lindor,140239,1104.24409448819,Cleveland
Marcus Semien,139818,1100.92913385827,Oakland
Freddie Freeman,138704,1092.15748031496,Atlanta
Rhys Hoskins,135593,1067.66141732283,Philadelphia
Jose Abreu,135572,1067.49606299213,Chicago
Nolan Arenado,135290,1065.27559055118,Colorado
Paul Goldschmidt,132798,1045.65354330709,St. Louis
Nicholas Castellanos,132313,1041.83464566929,Chicago
Ronald Acuna Jr.,131391,1034.57480314961,Atlanta
Eddie Rosario,131257,1033.51968503937,Minnesota
Paul DeJong,129824,1022.23622047244,St. Louis
Andrew Benintendi,129135,1016.81102362205,Boston
Trevor Story,126854,998.850393700788,Colorado
Matt Olson,126630,997.086614173228,Oakland
Bryce Harper,126526,996.267716535433,Philadelphia
Adam Frazier,124905,983.503937007874,Pittsburgh
Kevin Pillar,124861,983.157480314961,San Francisco
Cody Bellinger,124613,981.204724409449,Los Angeles
Rougned Odor,124540,980.629921259843,Texas
Charlie Blackmon,123243,970.417322834646,Colorado
Adam Eaton,123065,969.015748031496,Washington
DJ LeMahieu,122894,967.669291338583,New York
Starlin Castro,120676,950.204724409449,Miami
Jeff McNeil,120637,949.897637795276,New York
Xander Bogaerts,120604,949.637795275591,Boston
Daniel Murphy,120096,945.637795275591,Colorado
Austin Meadows,119278,939.196850393701,Tampa Bay
Pete Alonso,118974,936.803149606299,New York
Brandon Belt,118857,935.88188976378,San Francisco
Alex Bregman,118773,935.220472440945,Houston
J.D. Martinez,118324,931.685039370079,Boston
Joey Votto,117348,924,Cincinnati
Trea Turner,117299,923.614173228346,Washington
Gleyber Torres,116492,917.259842519685,New York
Renato Nunez,116346,916.110236220472,Baltimore
Manny Machado,116015,913.503937007874,San Diego
Jorge Soler,116010,913.464566929134,Kansas City
Josh Bell,115481,909.299212598425,
Juan Soto,115131,906.543307086614,Washington
Mike Moustakas,115010,905.590551181102,Milwaukee
Matt Chapman,114677,902.968503937008,Oakland
Max Kepler,114195,899.173228346457,Minnesota
Amed Rosario,113845,896.417322834646,New York
J.T. Realmuto,113125,890.748031496063,Philadelphia
Ketel Marte,113125,890.748031496063,Arizona
Jonathan Villar,112889,888.889763779528,Baltimore
Trey Mancini,112811,888.275590551181,Baltimore
Randal Grichuk,112707,887.456692913386,Toronto
Kris Bryant,112259,883.929133858268,Chicago
Gio Urshela,111861,880.795275590551,New York
Freddy Galvis,111843,880.653543307087,
Elvis Andrus,111812,880.409448818898,Texas
Kyle Schwarber,111387,877.062992125984,Chicago
Hunter Dozier,110902,873.244094488189,Kansas City
Kyle Seager,110830,872.677165354331,Seattle
Yolmer Sanchez,110819,872.590551181102,Chicago
Jason Kipnis,110423,869.472440944882,
Kevin Newman,110207,867.771653543307,Pittsburgh
Michael Brantley,110034,866.409448818898,Houston
Justin Turner,109748,864.157480314961,Los Angeles
Mike Trout,109724,863.968503937008,
David Fletcher,109630,863.228346456693,Los Angeles
Josh Donaldson,109369,861.173228346457,Atlanta
Jose Ramirez,109368,861.165354330709,Cleveland
Christian Vazquez,109136,859.338582677165,Boston
Carlos Santana,108967,858.007874015748,Cleveland
Yuli Gurriel,108936,857.763779527559,Houston
Michael Conforto,108212,852.062992125984,New York
Jean Segura,107965,850.118110236221,Philadelphia
Bryan Reynolds,107951,850.007874015748,Pittsburgh
