"","team_name","home_lat","home_lon","second_lat","second_lon"
"1","Arizona Diamondbacks","112 04 00.17","112 04 00.17","112 04 00.17","112 04 00.17"
"2","Atlanta Braves","84 28 04.74","84 28 04.74","84 28 04.74","84 28 04.74"
"3","Baltimore Orioles","76 37 18.89","76 37 18.89","76 37 18.89","76 37 18.89"
"4","Boston Red Sox","71 05 51.97","71 05 51.97","71 05 51.97","71 05 51.97"
"5","Chicago White Sox","87 38 03.20","87 38 03.20","87 38 03.20","87 38 03.20"
"6","Chicago Cubs","87 39 20.95","87 39 20.95","87 39 20.95","87 39 20.95"
"7","Cincinnati Reds","84 30 25.35","84 30 25.35","84 30 25.35","84 30 25.35"
"8","Cleveland Indians","81 41 07.02","81 41 07.02","81 41 07.02","81 41 07.02"
"9","Colorado Rockies","104.59 39.13","104.59 39.13","104.59 39.13","104.59 39.13"
"10","Detroit Tigers","83 02 56.31","83 02 56.31","83 02 56.31","83 02 56.31"
"11","Houston Astros","95 21 19.32","95 21 19.32","95 21 19.32","95 21 19.32"
"12","Kansas City Royals","94 28 50.93","94 28 50.93","94 28 50.93","94 28 50.93"
"13","Los Angeles Angels","117 52 59.41","117 52 59.41","117 52 59.41","117 52 59.41"
"14","Los Angeles Dodgers","118 14 24.81","118 14 24.81","118 14 24.81","118 14 24.81"
"15","Miami Marlins","80 13 11.47","80 13 11.47","80 13 11.47","80 13 11.47"
"16","Milwaukee Brewers","87 58 17.90","87 58 17.90","87 58 17.90","87 58 17.90"
"17","Minnesota Twins","93 16 41.83","93 16 41.83","93 16 41.83","93 16 41.83"
"18","New York Yankees","73 55 37.05","73 55 37.05","73 55 37.05","73 55 37.05"
"19","New York Mets","73 50 45.72","73 50 45.72","73 50 45.72","73 50 45.72"
"20","Oakland Athletics","122 12 03.77","122 12 03.77","122 12 03.77","122 12 03.77"
"21","Philadelphia Phillies","75 09 59.75","75 09 59.75","75 09 59.75","75 09 59.75"
"22","Pittsburgh Pirates","80 00 22.24","80 00 22.24","80 00 22.24","80 00 22.24"
"23","San Diego Padres","117 09 25.47","117 09 25.47","117 09 25.47","117 09 25.47"
"24","San Francisco Giants","122 23 23.69","122 23 23.69","122 23 23.69","122 23 23.69"
"25","Seattle Mariners","122 19 58.47","122 19 58.47","122 19 58.47","122 19 58.47"
"26","St. Louis Cardinals","90 11 36.20","90 11 36.20","90 11 36.20","90 11 36.20"
"27","Tampa Bay Rays","82 39 13.31","82 39 13.31","82 39 13.31","82 39 13.31"
"28","Texas Rangers","97 04 58.78","97 04 58.78","97 04 58.78","97 04 58.78"
"29","Toronto Blue Jays","79 23 20.33","79 23 20.33","79 23 20.33","79 23 20.33"
"30","Washington Nationals","77 00 27.82","77 00 27.82","77 00 27.82","77 00 27.82"
